customer_id,age,gender,city,city_tier,occupation,income_bracket,education,marital_status,preferred_language,preferred_channel,avg_session_duration_mins,monthly_visits,cart_abandonment_rate,avg_order_value,total_purchases,loyalty_points,customer_segment,last_active_days_ago,nps_score
CU-MU-1018,30,Female,Mumbai,Tier 1,Product Manager,High,Post Graduate,Single,English,Google,21.4,10,0.29,5230,25,14560,Premium Shopper,2,9
CU-MU-1019,22,Male,Amravati,Tier 3,Student,Low,Undergraduate,Single,Hindi,YouTube,24.1,16,0.69,720,3,980,Budget Shopper,3,5
CU-MU-1020,36,Female,Pune,Tier 1,Architect,High,Post Graduate,Married,English,Instagram,18.9,9,0.32,6780,29,17890,Premium Shopper,1,8
CU-MU-1021,28,Male,Mumbai,Tier 1,Sales Executive,Mid,Graduate,Single,Hindi,WhatsApp,15.6,8,0.51,2340,12,5450,Regular Shopper,4,6
CU-MU-1022,43,Female,Nashik,Tier 2,School Principal,Mid,Post Graduate,Married,Marathi,Facebook,11.2,5,0.41,3120,16,8340,Regular Shopper,6,7
CU-MU-1023,20,Male,Mumbai,Tier 1,Student,Low,Undergraduate,Single,Hindi,Instagram,35.4,26,0.82,480,2,560,Budget Shopper,1,4
CU-MU-1024,39,Female,Pune,Tier 1,Finance Manager,High,Post Graduate,Married,English,Email,13.7,6,0.23,9340,38,26780,Premium Shopper,3,9
CU-MU-1025,27,Male,Aurangabad,Tier 2,Graphic Designer,Mid,Graduate,Single,Hindi,YouTube,22.8,13,0.55,1980,10,4780,Regular Shopper,2,6
CU-MU-1026,50,Female,Mumbai,Tier 1,Homemaker,Low,Graduate,Married,Hindi,WhatsApp,9.3,4,0.44,1780,15,7230,Regular Shopper,7,7
CU-MU-1027,31,Male,Pune,Tier 1,Software Engineer,High,Post Graduate,Married,English,Google,20.1,9,0.28,5890,27,16230,Premium Shopper,2,9
CU-MU-1028,24,Female,Latur,Tier 3,Student,Low,Undergraduate,Single,Hindi,Instagram,29.8,20,0.76,510,2,720,Budget Shopper,1,5
CU-MU-1029,35,Male,Mumbai,Tier 1,Journalist,Mid,Graduate,Married,Hindi,Facebook,16.4,7,0.47,2560,14,6890,Regular Shopper,5,6
CU-MU-1030,26,Female,Pune,Tier 1,Startup Founder,High,Post Graduate,Single,English,Instagram,25.6,14,0.33,4560,21,11780,Premium Shopper,1,8
CU-MU-1031,44,Male,Solapur,Tier 2,Civil Engineer,Mid,Graduate,Married,Marathi,WhatsApp,12.1,5,0.39,3230,17,8560,Regular Shopper,8,7
CU-MU-1032,23,Female,Mumbai,Tier 1,Intern,Low,Graduate,Single,English,Instagram,27.4,17,0.65,890,5,1890,Budget Shopper,2,6
CU-MU-1033,48,Male,Pune,Tier 1,Professor,Mid,Post Graduate,Married,English,Email,10.4,4,0.31,4120,20,10450,Regular Shopper,4,7
CU-MU-1034,29,Female,Nagpur,Tier 2,Dietitian,Mid,Graduate,Single,Hindi,YouTube,18.7,10,0.52,2120,11,5230,Regular Shopper,3,6
CU-MU-1035,37,Male,Mumbai,Tier 1,Investment Banker,High,Post Graduate,Married,English,Google,14.8,6,0.21,12340,45,38900,Premium Shopper,2,10
CU-MU-1036,21,Female,Jalgaon,Tier 3,Student,Low,Undergraduate,Single,Marathi,Instagram,32.1,23,0.79,430,2,540,Budget Shopper,1,4
CU-MU-1037,32,Male,Mumbai,Tier 1,DevOps Engineer,High,Post Graduate,Single,English,YouTube,19.3,10,0.30,5340,24,13450,Premium Shopper,3,8
CU-MU-1038,41,Female,Pune,Tier 1,Lawyer,High,Post Graduate,Married,English,Email,11.6,5,0.25,8450,33,22340,Premium Shopper,5,9
CU-MU-1039,25,Male,Kolhapur,Tier 2,Shop Owner,Mid,Graduate,Single,Marathi,Facebook,14.9,7,0.48,2450,12,5780,Regular Shopper,4,6
CU-MU-1040,30,Female,Mumbai,Tier 1,Event Planner,Mid,Graduate,Married,Hindi,Instagram,21.7,12,0.44,3450,16,8120,Regular Shopper,2,7
CU-MU-1041,19,Male,Amravati,Tier 3,Student,Low,Undergraduate,Single,Hindi,YouTube,30.4,21,0.77,490,2,610,Budget Shopper,1,4
CU-MU-1042,46,Female,Mumbai,Tier 1,HR Director,High,Post Graduate,Married,English,Google,13.2,6,0.26,7230,31,19870,Premium Shopper,3,9
CU-MU-1043,28,Male,Nashik,Tier 2,Electrician,Low,Secondary,Married,Marathi,WhatsApp,10.6,5,0.57,1230,8,3120,Budget Shopper,6,5
CU-MU-1044,34,Female,Pune,Tier 1,Researcher,Mid,Post Graduate,Single,English,Google,23.4,11,0.36,3890,18,9450,Regular Shopper,2,7
CU-MU-1045,22,Male,Mumbai,Tier 1,Freelancer,Mid,Graduate,Single,Hindi,Instagram,26.8,15,0.60,1670,7,3450,Budget Shopper,1,6
CU-MU-1046,53,Female,Aurangabad,Tier 2,Homemaker,Low,Graduate,Married,Marathi,Facebook,8.9,3,0.42,1450,10,4230,Regular Shopper,10,6
CU-MU-1047,36,Male,Mumbai,Tier 1,Startup Founder,High,Post Graduate,Married,English,Google,17.6,8,0.24,9870,40,29450,Premium Shopper,2,9
CU-MU-1048,27,Female,Pune,Tier 1,Digital Marketer,Mid,Graduate,Single,English,Instagram,24.9,14,0.45,2780,15,7340,Regular Shopper,3,7
CU-MU-1049,33,Male,Nagpur,Tier 2,Bank Manager,Mid,Post Graduate,Married,Hindi,Email,12.8,5,0.35,3670,19,9780,Regular Shopper,5,7
